location,San Francisco,San Francisco,San Francisco,San Francisco
lat,37.99986,37.99986,37.99986,37.99986
lon,-122.34375,-122.34375,-122.34375,-122.34375
asl,60.343,60.343,60.343,60.343
variable,Temperature,Precipitation Total,Wind Speed,Wind Direction
unit,°C,mm,km/h,°
level,2 m elevation corrected,sfc,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,San Francisco Temperature [2 m elevation corrected],San Francisco Precipitation Total,San Francisco Wind Speed [10 m],San Francisco Wind Direction [10 m]
20200322T1800,16.708227,0.0,4.3038235,248.1986
20200322T1900,15.748226,0.0,3.554219,257.00537
20200322T2000,14.298226,0.0,3.8142676,257.90524
20200322T2100,13.478226,0.0,3.7296,270.0
20200322T2200,12.608226,0.0,3.7391024,274.08563
20200322T2300,11.838226,0.0,4.0313635,277.59464
20200323T0000,11.108226,0.0,4.00487,273.8141
20200323T0100,10.488226,0.0,3.4631999,270.0
20200323T0200,9.938226,0.0,3.2951863,255.96376
20200323T0300,9.468226,0.0,3.118132,250.0169
20200323T0400,9.358226,0.0,3.2189233,245.55606
20200323T0500,9.448226,0.0,3.1067312,239.03624
20200323T0600,9.528226,0.0,4.1698194,206.56505
20200323T0700,9.208226,0.0,4.13564,194.93143
20200323T0800,9.618226,0.0,4.3935814,194.03624
20200323T0900,11.708226,0.0,7.1730394,201.8014
20200323T1000,12.348227,0.0,8.935328,206.56505
20200323T1100,12.988226,0.0,10.484796,207.21611
20200323T1200,13.288226,0.0,12.265977,214.38034
20200323T1300,13.348227,0.0,13.407623,220.97174
20200323T1400,13.368226,0.0,14.882679,224.27478
20200323T1500,12.898226,0.0,16.415516,228.28925
20200323T1600,12.348227,0.0,17.057924,231.3402
20200323T1700,11.438226,0.0,17.316,233.1301
20200323T1800,10.828226,0.0,14.493727,233.97263
20200323T1900,10.428226,0.0,12.789975,234.3236
20200323T2000,10.288226,0.0,9.8604,231.58195
20200323T2100,10.518226,0.0,8.903501,231.07246
20200323T2200,8.918226,0.0,8.154626,231.63252
20200323T2300,8.128226,0.0,8.2066765,234.24611
20200324T0000,7.6882267,0.0,7.992,233.1301
20200324T0100,7.5982265,0.0,6.823169,231.3402
20200324T0200,7.4282265,0.0,6.9926825,229.63547
20200324T0300,7.6282268,0.0,6.595754,226.63658
20200324T0400,7.818227,0.0,5.8668513,219.47247
20200324T0500,8.398226,0.0,5.485512,209.05461
20200324T0600,8.918226,0.0,4.075136,168.69006
20200324T0700,9.188226,0.0,4.075136,168.69006
20200324T0800,9.648226,0.0,4.824709,173.6598
20200324T0900,10.558227,0.0,7.8395867,189.78241
20200324T1000,11.088226,0.0,10.252074,204.56717
20200324T1100,11.508226,0.0,12.280433,204.3411
20200324T1200,11.768226,0.0,13.01276,202.89055
20200324T1300,11.788226,0.0,14.179389,205.60219
20200324T1400,11.748226,0.0,14.574296,210.78415
20200324T1500,11.618226,0.2,14.710008,215.41705
20200324T1600,11.378226,0.5,13.985365,220.36453
20200324T1700,11.008226,0.4,13.562873,225.0
20200324T1800,10.758226,0.4,12.11754,236.6593
20200324T1900,10.328226,0.0,10.375929,240.80252
20200324T2000,9.738226,0.0,7.766828,239.03624
20200324T2100,9.458226,0.0,7.038205,240.52411
20200324T2200,9.118226,0.0,6.4433565,240.25513
20200324T2300,8.598227,0.0,5.0264254,237.99463
20200325T0000,7.6782265,0.0,4.336678,227.48956
20200325T0100,7.4482265,0.0,4.336678,227.48956
20200325T0200,7.7782264,0.0,3.996,233.1301
20200325T0300,7.9182267,0.0,3.8420756,236.30994
20200325T0400,7.8482265,0.0,3.9333487,241.69925
20200325T0500,7.7482266,0.0,3.4632,247.38014
20200325T0600,7.338227,0.0,3.013972,225.0
20200325T0700,6.7482266,0.0,2.664,233.1301
20200325T0800,7.1882267,0.0,1.4346079,248.1986
20200325T0900,9.558227,0.0,2.028842,246.8014
20200325T1000,10.728226,0.0,3.9603205,250.34618
20200325T1100,11.548226,0.0,4.765508,243.43495
20200325T1200,11.278226,0.0,5.124306,242.10274
20200325T1300,11.218226,0.0,6.1963058,244.53665
20200325T1400,11.088226,0.0,6.828368,249.44395
20200325T1500,11.098227,0.0,7.430602,255.46555
20200325T1600,10.918226,0.0,8.411661,259.04596
20200325T1700,10.668226,0.0,9.120067,263.29016
20200325T1800,10.328226,0.0,8.855546,263.08878
20200325T1900,9.528226,0.0,7.3150935,259.50854
20200325T2000,8.338226,0.0,5.124306,242.10274
20200325T2100,7.568227,0.0,4.336678,222.51045
20200325T2200,6.548227,0.0,3.996,216.8699
20200325T2300,5.6582265,0.0,3.996,216.8699
